date,modal_price,arrivals_mt,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_lag_60,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_arrival_change,day_of_week,month,quarter
2019-03-02,1347.6272329923663,418.6776968366699,1345.537688471035,1323.4429630504667,1337.864374920398,1350.472419112405,1251.6790982885495,1273.6064168993726,1337.2751053006998,1336.665224599253,9.251816523162173,-0.23219481959014676,5,3,1
2019-03-03,1355.893707457737,587.8651675380188,1347.6272329923663,1327.9815646200204,1335.324177530228,1350.6581785640349,1258.9407098875852,1273.1845277376767,1340.2136095760582,1337.0391909488028,11.517951419066446,0.06855295783117388,6,3,1
2019-03-04,1370.8449515597017,443.105348771957,1355.893707457737,1345.537688471035,1344.7343866839703,1341.9884710657548,1259.310385093076,1273.6732598896208,1343.9436902725913,1339.100368126942,16.413543195548254,0.17369820444280348,0,3,1
2019-03-05,1370.4796480628804,637.0516835644654,1370.8449515597017,1347.6272329923663,1336.277723756812,1342.8556577333145,1260.5279711961705,1286.0217652669662,1348.8296794591727,1341.0735102933395,18.684691516051164,0.4469220763383177,1,3,1
2019-03-06,1368.959015246268,691.2343931796954,1370.4796480628804,1355.893707457737,1323.4429630504667,1334.7022766349378,1260.860829474744,1282.0596551467518,1355.3319726300012,1343.5204201941488,16.121684445479328,0.4410798870385535,2,3,1
2019-03-07,1373.6798987525742,325.1986306371337,1368.959015246268,1370.8449515597017,1327.9815646200204,1322.352842348231,1270.6437691643637,1276.623986744286,1361.860306077509,1347.1866385087449,11.900419233733167,-0.4035042708005224,3,3,1
2019-03-08,1380.1800898137558,467.3666434292632,1373.6798987525742,1370.4796480628804,1345.537688471035,1321.9656060179686,1275.0008955688604,1263.2362465353872,1366.8092205550404,1351.3448159227296,11.161423271741349,-0.2915921599594755,4,3,1
2019-03-09,1366.1903389269237,264.9755317982452,1380.1800898137558,1368.959015246268,1347.6272329923663,1337.864374920398,1279.4890964795684,1260.997654209212,1369.4610928314057,1353.3680990660528,7.423741176452454,-0.3671133337164252,5,3,1
2019-03-10,1369.1475951896314,331.0163975440895,1366.1903389269237,1373.6798987525742,1355.893707457737,1335.324177530228,1291.711078055126,1263.5596166711423,1371.3545053645335,1355.7840574702961,4.501867317740352,-0.43691782431949955,6,3,1
2019-03-11,1369.1407810951994,337.24747597462954,1369.1475951896314,1380.1800898137558,1370.8449515597017,1344.7343866839703,1307.776816635873,1246.3186530552107,1371.1110524410335,1357.5273713568124,4.57942683564456,-0.2389000112291737,0,3,1
2019-03-12,1361.2455927040962,562.4065974811286,1369.1407810951994,1366.1903389269237,1370.4796480628804,1336.277723756812,1330.2127338735536,1242.8943671212648,1369.7919016754927,1359.3107905673326,5.924165398249965,-0.11717273183500376,1,3,1
2019-03-13,1360.547488802319,543.6983644327104,1361.2455927040962,1369.1475951896314,1368.959015246268,1323.4429630504667,1324.4225969254007,1254.4973084204653,1368.590255040643,1361.9611138353223,6.894831410983781,-0.21343849525240732,2,3,1
2019-03-14,1348.894240483692,580.1244454661048,1360.547488802319,1369.1407810951994,1373.6798987525742,1327.9815646200204,1349.116671065487,1260.9803688474774,1365.0494467165167,1363.4548763970129,9.656599231537399,0.7839080205519835,3,3,1
2019-03-15,1333.7849631849554,560.791651837492,1348.894240483692,1361.2455927040962,1380.1800898137558,1345.537688471035,1338.1489416309353,1264.714700575085,1358.4215714838313,1362.6153960194356,12.913364598805769,0.19989661162536287,4,3,1
2019-03-16,1334.4534456813656,548.5064821466246,1333.7849631849554,1360.547488802319,1366.1903389269237,1347.6272329923663,1357.5014156613663,1270.9268235648306,1353.8877295916084,1361.674411211507,15.114877672580512,1.0700269131425406,5,3,1
2019-03-17,1343.474215915321,511.1857051344682,1334.4534456813656,1348.894240483692,1369.1475951896314,1355.893707457737,1351.1618170744528,1265.1897808659342,1350.2201039809927,1360.7873046727632,13.857456404534656,0.544291185956675,6,3,1
2019-03-18,1340.0013085337878,486.91196946546177,1343.474215915321,1333.7849631849554,1369.1407810951994,1370.8449515597017,1350.472419112405,1258.1205830068743,1346.0573221865054,1358.5841873137692,11.382040532301092,0.4437823976541524,0,3,1
2019-03-19,1330.394015895711,601.9597732044775,1340.0013085337878,1334.4534456813656,1361.2455927040962,1370.4796480628804,1350.6581785640349,1270.839670814256,1341.6499540710217,1355.720927873257,10.456149919065037,0.07032843480232476,1,3,1
2019-03-20,1322.341028039831,501.2277889024039,1330.394015895711,1343.474215915321,1360.547488802319,1368.959015246268,1341.9884710657548,1279.126064608505,1336.1918882478092,1352.391071644226,8.78607662368545,-0.0781142234529616,2,3,1
2019-03-21,1327.8304732174963,552.5178981588598,1322.341028039831,1340.0013085337878,1348.894240483692,1373.6798987525742,1342.8556577333145,1271.663334392194,1333.1827786383526,1349.1161126774348,7.16881183921384,-0.04758728497480291,3,3,1
2019-03-22,1344.5043253969225,266.97146659678606,1327.8304732174963,1330.394015895711,1333.7849631849554,1380.1800898137558,1334.7022766349378,1252.876094795414,1334.7141160972049,1346.5678437905178,8.364119927846714,-0.5239382296044772,4,3,1
2019-03-23,1352.2088873111954,382.493091914092,1344.5043253969225,1322.341028039831,1334.4534456813656,1366.1903389269237,1322.352842348231,1245.6209393106108,1337.2506077586092,1345.5691686751088,10.651397045536138,-0.30266440896527924,5,3,1
2019-03-24,1365.216806303681,598.0224253645265,1352.2088873111954,1327.8304732174963,1343.474215915321,1369.1475951896314,1321.9656060179686,1251.05628158527,1340.3566920998037,1345.288398040398,15.036368118452508,0.16987313877882348,6,3,1
2019-03-25,1354.740569325979,433.15650665668153,1365.216806303681,1344.5043253969225,1340.0013085337878,1369.1407810951994,1337.864374920398,1244.4736801580375,1342.4623007844023,1344.2598114854538,15.98065866504335,-0.11040078326230851,0,3,1
2019-03-26,1354.001270158631,360.4642482167593,1354.740569325979,1352.2088873111954,1330.394015895711,1361.2455927040962,1335.324177530228,1247.7743582660428,1345.8347656791052,1343.7423598750634,15.492892919090613,-0.4011821648847713,1,3,1
2019-03-27,1364.188178662875,564.129233148137,1354.001270158631,1365.216806303681,1322.341028039831,1360.547488802319,1344.7343866839703,1261.972063805032,1351.8129300538258,1344.0024091508174,12.746903551228046,0.12549472642663262,2,3,1
2019-03-28,1350.1964028506031,500.1334325278429,1364.188178662875,1354.740569325979,1327.8304732174963,1348.894240483692,1336.277723756812,1261.041793027101,1355.0080628585551,1344.0954207484538,7.426238501412321,-0.09481044108358516,3,3,1
2019-03-29,1343.612670714339,459.3060828686416,1350.1964028506031,1354.001270158631,1344.5043253969225,1333.7849631849554,1323.4429630504667,1263.3813945569498,1354.8806836181864,1344.7973998576958,7.6409749905861135,0.7204313581658655,4,3,1
2019-03-30,1353.0328622847542,650.9110968741091,1343.612670714339,1364.188178662875,1352.2088873111954,1334.4534456813656,1327.9815646200204,1270.2304331219457,1354.9983943286948,1346.124501043652,7.599188008544414,0.7017590922146741,5,3,1
2019-03-31,1355.6171199926378,633.7434107915418,1353.0328622847542,1350.1964028506031,1365.216806303681,1343.474215915321,1345.537688471035,1259.4095905386705,1353.6270105699743,1346.991851334889,6.181800905293834,0.059731849362072875,6,3,1
2019-04-01,1345.9660106698109,481.2162800384931,1355.6171199926378,1343.612670714339,1354.740569325979,1340.0013085337878,1347.6272329923663,1251.6790982885495,1352.3735021905215,1347.417901487462,6.779133402850872,0.11095244477050792,0,4,2
2019-04-02,1329.6577965977417,572.2375304819296,1345.9660106698109,1353.0328622847542,1354.001270158631,1330.394015895711,1355.893707457737,1258.9407098875852,1348.8958631103944,1347.36531439475,10.835402893450711,0.5875014881859348,1,4,2
2019-04-03,1343.0309484113918,276.12961877614407,1329.6577965977417,1355.6171199926378,1364.188178662875,1322.341028039831,1370.8449515597017,1259.310385093076,1345.8734016458968,1348.8431658498614,8.57351669891817,-0.5105206350764772,2,4,2
2019-04-04,1322.4971045759826,609.3359032897279,1343.0309484113918,1345.9660106698109,1350.1964028506031,1327.8304732174963,1370.4796480628804,1260.5279711961705,1341.9163590352368,1348.462210946896,11.966527993022613,0.2183466724268739,3,4,2
2019-04-05,1328.8210563656858,391.341349126396,1322.4971045759826,1329.6577965977417,1343.612670714339,1344.5043253969225,1368.959015246268,1260.860829474744,1339.8032712711436,1347.341977444665,12.887592564491097,-0.14797264020055034,4,4,2
2019-04-06,1323.4906120118187,354.7858064583171,1328.8210563656858,1343.0309484113918,1353.0328622847542,1352.2088873111954,1373.6798987525742,1270.6437691643637,1335.5829498035814,1345.2906720661379,12.668486053632426,-0.4549396865991129,5,4,2
2019-04-07,1333.9612951754525,321.4734952158448,1323.4906120118187,1322.4971045759826,1355.6171199926378,1365.216806303681,1380.1800898137558,1275.0008955688604,1332.4892605439834,1343.0581355569789,9.10319201590587,-0.4927387176865061,6,4,2
